### http://myforecast.com/

| Site Rank | Interest Ads | Cumulative Interest Ads | Categorized Ads | Cumulative Categorized Ads |
| 977 | 0 | 2 | 1 | 66 |
| 1013 | 0 | 2 | 6 | 72 |
| 1022 | 0 | 2 | 8 | 80 |
| 1026 | 0 | 2 | 7 | 87 |
| 1055 | 0 | 2 | 0 | 87 |
| 1093 | 0 | 2 | 2 | 89 |


### Aggregated Control Site Data

| Site Rank | Interest Ads | Cumulative Interest Ads | Categorized Ads | Cumulative Categorized Ads |
|-----------|--------------|-------------------------|-----------------|----------------------------|
| 11 | 0 | 0 | 0 | 0 |
| 19 | 0 | 0 | 0 | 0 |
| 20 | 0 | 0 | 0 | 0 |
| 21 | 0 | 0 | 0 | 0 |
| 46 | 0 | 0 | 0 | 0 |
| 50 | 0 | 0 | 0 | 0 |
| 61 | 0 | 0 | 0 | 0 |
| 74 | 0 | 0 | 12 | 12 |
| 90 | 0 | 0 | 0 | 12 |
| 92 | 0 | 0 | 0 | 12 |
| 100 | 0 | 0 | 0 | 12 |
| 121 | 0 | 0 | 6 | 18 |
| 132 | 0 | 0 | 0 | 18 |
| 133 | 0 | 0 | 11 | 29 |
| 143 | 0 | 0 | 0 | 29 |
| 147 | 0 | 0 | 0 | 29 |
| 156 | 0 | 0 | 0 | 29 |
| 158 | 0 | 0 | 0 | 29 |
| 182 | 0 | 0 | 0 | 29 |
| 205 | 0 | 0 | 0 | 29 |
| 207 | 0 | 0 | 0 | 29 |
| 210 | 0 | 0 | 0 | 29 |
| 224 | 0 | 0 | 11 | 40 |
| 229 | 0 | 0 | 0 | 40 |
| 237 | 0 | 0 | 0 | 40 |
| 238 | 0 | 0 | 0 | 40 |
| 247 | 0 | 0 | 1 | 41 |
| 249 | 0 | 0 | 0 | 41 |
| 254 | 1 | 1 | 7 | 48 |
| 260 | 0 | 1 | 0 | 48 |
| 266 | 0 | 1 | 0 | 48 |
| 286 | 1 | 2 | 14 | 62 |
| 294 | 0 | 2 | 4 | 66 |
| 313 | 0 | 2 | 0 | 66 |
| 321 | 0 | 2 | 15 | 81 |
| 322 | 0 | 2 | 8 | 89 |
| 323 | 0 | 2 | 0 | 89 |
| 324 | 1 | 3 | 16 | 105 |
| 344 | 0 | 3 | 8 | 113 |
| 347 | 0 | 3 | 13 | 126 |
| 351 | 0 | 3 | 0 | 126 |
| 352 | 0 | 3 | 0 | 126 |
| 370 | 0 | 3 | 0 | 126 |
| 377 | 0 | 3 | 17 | 143 |
| 392 | 0 | 3 | 7 | 150 |
| 393 | 0 | 3 | 0 | 150 |
| 409 | 0 | 3 | 15 | 165 |
| 411 | 1 | 4 | 16 | 181 |
| 418 | 1 | 5 | 15 | 196 |
| 421 | 0 | 5 | 1 | 197 |
| 441 | 0 | 5 | 1 | 198 |
| 466 | 0 | 5 | 0 | 198 |
| 474 | 1 | 6 | 18 | 216 |
| 477 | 0 | 6 | 0 | 216 |
| 483 | 0 | 6 | 0 | 216 |
| 511 | 0 | 6 | 12 | 228 |
| 536 | 0 | 6 | 0 | 228 |
| 537 | 0 | 6 | 0 | 228 |
| 538 | 0 | 6 | 13 | 241 |
| 553 | 0 | 6 | 0 | 241 |
| 559 | 0 | 6 | 0 | 241 |
| 565 | 0 | 6 | 13 | 254 |
| 576 | 0 | 6 | 1 | 255 |
| 577 | 0 | 6 | 0 | 255 |
| 580 | 0 | 6 | 0 | 255 |
| 598 | 0 | 6 | 0 | 255 |
| 600 | 0 | 6 | 0 | 255 |
| 601 | 0 | 6 | 0 | 255 |
| 602 | 0 | 6 | 0 | 255 |
| 619 | 0 | 6 | 0 | 255 |
| 620 | 0 | 6 | 3 | 258 |
| 638 | 0 | 6 | 0 | 258 |
| 639 | 0 | 6 | 8 | 266 |
| 640 | 0 | 6 | 1 | 267 |
| 647 | 0 | 6 | 8 | 275 |
| 648 | 1 | 7 | 13 | 288 |
| 685 | 0 | 7 | 0 | 288 |
| 689 | 0 | 7 | 2 | 290 |
| 690 | 0 | 7 | 17 | 307 |
| 705 | 1 | 8 | 12 | 319 |
| 706 | 0 | 8 | 0 | 319 |
| 713 | 0 | 8 | 10 | 329 |
| 714 | 0 | 8 | 0 | 329 |
| 715 | 0 | 8 | 0 | 329 |
| 727 | 1 | 9 | 19 | 348 |
| 754 | 0 | 9 | 0 | 348 |
| 755 | 0 | 9 | 6 | 354 |
| 756 | 1 | 10 | 3 | 357 |
| 767 | 1 | 11 | 18 | 375 |
| 804 | 0 | 11 | 0 | 375 |
| 805 | 0 | 11 | 7 | 382 |
| 815 | 0 | 11 | 0 | 382 |
| 822 | 0 | 11 | 16 | 398 |
| 833 | 1 | 12 | 19 | 417 |
| 843 | 0 | 12 | 17 | 434 |
| 844 | 0 | 12 | 18 | 452 |
| 845 | 0 | 12 | 8 | 460 |
| 848 | 0 | 12 | 0 | 460 |
| 851 | 0 | 12 | 0 | 460 |
| 872 | 0 | 12 | 16 | 476 |
| 874 | 0 | 12 | 0 | 476 |
| 875 | 0 | 12 | 0 | 476 |
| 884 | 1 | 13 | 8 | 484 |
| 886 | 0 | 13 | 0 | 484 |
| 892 | 0 | 13 | 17 | 501 |
| 893 | 0 | 13 | 18 | 519 |
| 900 | 0 | 13 | 17 | 536 |
| 914 | 0 | 13 | 8 | 544 |
| 918 | 0 | 13 | 0 | 544 |
| 953 | 0 | 13 | 0 | 544 |
| 972 | 0 | 13 | 0 | 544 |
| 977 | 0 | 13 | 1 | 545 |
| 989 | 1 | 14 | 19 | 564 |
| 1006 | 0 | 14 | 6 | 570 |
| 1009 | 0 | 14 | 0 | 570 |
| 1013 | 0 | 14 | 6 | 576 |
| 1022 | 0 | 14 | 8 | 584 |
| 1023 | 0 | 14 | 0 | 584 |
| 1026 | 0 | 14 | 7 | 591 |
| 1045 | 0 | 14 | 0 | 591 |
| 1053 | 0 | 14 | 18 | 609 |
| 1055 | 0 | 14 | 0 | 609 |
| 1064 | 0 | 14 | 7 | 616 |
| 1067 | 0 | 14 | 16 | 632 |
| 1082 | 0 | 14 | 4 | 636 |
| 1087 | 0 | 14 | 0 | 636 |
| 1092 | 0 | 14 | 19 | 655 |
| 1093 | 0 | 14 | 2 | 657 |
| 1097 | 0 | 14 | 0 | 657 |
| 1103 | 0 | 14 | 0 | 657 |


Total Visits: 130
